page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
aggregates-levy-application-for-registration-al1		not	0.01	0.02	0.00857105	0.01535931	0.01	0.00000000
aggregates-levy-application-to-appoint-a-uk-tax-representative-al5		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
aggregates-levy-example-return		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
aggregates-levy-notify-site-details-al1a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
agreed-notice-registration-an1		not	0.01	0.02	0.03958092	0.05030689	0.03	0.00000000
agreement-for-the-sale-of-management-support-system-mss-data		not	0.01	0.03	0.01898737	0.03755798	0.01	0.00000000
agreements-for-recognition-get-help-from-the-cac		not	0.01	0.02	0.03459148	0.05369511	0.01	0.00000000
agrex-export-licence-application-form-for-agricultural-products		not	0.01	0.01	0.05487185	0.05487185	0.01	0.00000000
agrim-import-licence-application-form-for-agricultural-products		not	0.01	0.01	0.05604506	0.05604506	0.01	0.00000000
aidu-order-forms		not	0.01	0.03	0.16885347	0.30888529	0.01	0.00000000
air-carriers-pet-travel-required-method-of-operation-rmop		not	0.02	0.01	0.00637846	0.00637846	0.01	0.00000000
air-passenger-duty-application-to-register-apd1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
air-passenger-duty-occasional-operator-scheme-apd6		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
air-passenger-duty-send-your-online-return-apd2		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
air-warfare-centre-task-initiation-form		not	0.01	0.01	0.02964830	0.02964830	0.01	0.00000000
alcohol-and-tobacco-duty-stores-authority-for-spirits-and-tobacco-products-c945		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
alcohol-duties-annual-return-of-movements-of-uk-produced-whisky-whiskey-w1a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-application-for-a-distillers-licence-and-approval-of-distillery-plant-and-process-dla1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-application-for-a-licence-as-a-wine-or-made-wine-producer-or-commercial-grower-wmw1		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
alcohol-duties-application-to-amend-duty-stamps-registration-details-ds4		not	0.01	0.01	0.00911617	0.00911617	0.02	0.00000000
alcohol-duties-application-to-cancel-duty-stamps-registration-ds3		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
alcohol-duties-application-to-receive-duty-free-spirits-ex240		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-application-to-register-as-a-brewerpackager-and-holder-of-beer-bph1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-application-to-register-as-a-cider-or-perry-maker-cp30		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
alcohol-duties-beer-duty-return-ex46		not	0.01	0.0	0.00000000	0.00000000	0.08	0.00000000
alcohol-duties-cash-payments-for-alcohol-goods-or-services-in-duty-suspension-w7		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-claim-for-alcoholic-ingredients-relief-ex597		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-claim-for-exemption-from-registration-by-a-maker-of-cider-or-perry-for-sale-cp33		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
alcohol-duties-duty-stamps-application-for-registration-ds1		not	0.01	0.02	0.01162710	0.02067728	0.02	0.00000000
alcohol-duties-guarantee-for-payment-of-sums-due-to-hm-revenue-and-customs-c1201-bdac		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-notice-of-amendment-to-c1201-bdac-deferment-guarantee-c1201a-bdac		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-quarterly-distillery-return-declaration-of-materials-used-and-spirits-produced-w21		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
alcohol-duties-vat-due-on-alcoholic-beverages-ex-46-vat		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
alcohol-licensing-community-premises		not	0.01	0.01	0.01350021	0.01350021	0.02	0.00000000
allotting-a-new-class-of-shares-by-an-unlimited-company-sh09		not	0.01	0.02	0.05716896	0.06160593	0.01	0.00000000
allowance-for-lowered-standard-of-occupation		not	0.02	0.01	0.19572268	0.19572268	0.02	0.00000000
alternative-investment-fund-managers-mechanism-deferral-and-vesting-form		not	0.01	0.01	0.02292614	0.02292614	0.01	0.00000000
alternative-investment-fund-managers-mechanism-election-form		not	0.01	0.01	0.02114296	0.02114296	0.03	0.00000000
alternative-investment-fund-managers-mechanism-special-return-form		not	0.01	0.01	0.02078991	0.02078991	0.01	0.00000000
alternative-provision-academy-application-process		not	0.01	0.08	0.06148767	0.13047037	0.04	0.00000000
alternative-provision-free-school-applications		not	0.01	0.03	0.11148291	0.16738472	0.11	0.00000000
alternative-provision-free-school-financial-template		not	0.01	0.02	0.55844688	0.58838663	0.05	0.00000000
alternative-route-for-a-coc-revalidation-msf-4258		not	0.01	0.01	0.11314812	0.11314812	0.01	0.00000000
amateur-built-vehicles-declaration-iva-4		not	0.01	0.01	0.02576675	0.02576675	0.01	0.00000000
amateur-vegetables-variety-descriptions		not	0.01	0.39	0.39852686	9.84078789	0.02	0.00000000
amend-certificate-of-constitution-of-creditors-committee-226bch		not	0.01	0.01	0.00306425	0.00306425	0.01	0.00000000
amend-certificate-of-constitution-of-creditors-committee-34		not	0.01	0.01	0.00338964	0.00338964	0.01	0.00000000
amend-the-statutes-of-a-societas-europaea-se-as01		not	0.01	0.01	0.10438719	0.10438719	0.01	0.00000000
amrhai-serodiagnosis-referral-form		not	0.01	0.01	0.06004543	0.06004543	0.02	0.00000000
anglian-waterways-powered-vessel-annual-application		not	0.01	0.01	0.11489096	0.11489096	0.04	0.00000000
anglian-waterways-powered-vessel-short-period-application		not	0.01	0.01	0.02498980	0.02498980	0.04	0.00000000
anglian-waterways-unpowered-vessel-annual-and-short-term-application		not	0.01	0.01	0.02641859	0.02641859	0.05	0.00000000
animal-breeds-at-risk-registration		not	0.01	0.01	0.00936136	0.00936136	0.01	0.00000000
animal-disease-outbreak-disinfectant-washwater-disposal-form		not	0.03	0.01	0.03668032	0.03668032	0.01	0.00000000
animal-feedingstuffs-registration		not	0.01	0.02	0.44703274	0.87735605	0.02	0.00000000
animal-products-and-pathogens-application-for-import-licence		not	0.01	0.02	0.15089607	0.16196117	0.03	0.00000000
animal-transport-contingency-plan-template-for-specific-journey		not	0.01	0.01	0.00646200	0.00646200	0.02	0.00000000
animals-in-science-committee-recruitment-campaign		not	0.01	0.03	0.13673849	0.17788458	0.01	0.00000000
annual-appraisal-for-forensic-pathologists		not	0.01	0.08	0.01397448	0.06242256	0.01	0.00000000
annual-interim-project-report		not	0.01	0.01	0.03810778	0.03810778	0.01	0.00000000
annual-questionnaire-for-staff-in-boarding-and-residential-schools		not	0.01	0.02	0.04107122	0.04707632	0.01	0.00000000
annual-questionnaire-of-pupils-at-non-association-independent-schools		not	0.01	0.05	0.04426727	0.19942026	0.01	0.00000000
annual-report-of-the-grantee		not	0.01	0.01	0.00793324	0.00793324	0.01	0.00000000
annual-tax-on-enveloped-dwellings-ated-1		not	0.01	0.01	0.10166235	0.10166235	0.02	0.00000000
annual-tax-on-enveloped-dwellings-relief-declaration-returns		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
appeal-a-management-notice-for-work-on-an-sssi		not	0.02	0.01	0.04581776	0.04581776	0.01	0.00000000
appeal-form-crc-energy-efficiency-scheme		not	0.01	0.01	0.02373104	0.02373104	0.01	0.00000000
appeal-refusal-of-consent-for-work-on-an-sssi		not	0.02	0.01	0.04303064	0.04303064	0.01	0.00000000
appendix-2-forum-of-mobility-centres		not	0.01	0.01	0.02831278	0.02831278	0.04	0.00000000
application-extend-your-stay-in-the-uk-as-a-tier-1-entrepreneur		not	0.01	0.02	0.15727291	0.25216465	0.14	0.00000000
application-fee-for-patent-application		not	0.01	0.03	0.02011414	0.04541883	0.01	0.00000000
application-for-a-birth-relative-to-apply-for-entry-into-part-2-of-the-adoption-contact-register		not	0.01	0.01	0.01963835	0.01963835	0.01	0.00000000
application-for-a-boatmasters-licence-new-entrants-msf-4364		not	0.01	0.01	0.10660486	0.10660486	0.01	0.00000000
application-for-a-certificate-of-custom-law-for-marriage-france		not	0.01	0.01	0.02347679	0.02347679	0.04	0.00000000
application-for-a-certificate-of-permanent-export		not	0.01	0.01	0.06759491	0.06759491	0.04	0.00000000
application-for-a-change-to-an-establishment-licence		not	0.01	0.01	0.00554266	0.00554266	0.02	0.00000000
application-for-a-community-bus-permit-psv368		not	0.01	0.01	0.04583559	0.04583559	0.02	0.00000000
application-for-a-deceased-individuals-health-records		not	0.01	0.01	0.03109522	0.03109522	0.01	0.00000000
application-for-a-digital-tachograph-workshop-card-d778b		not	0.01	0.02	0.06186943	0.09265347	0.01	0.00000000
application-for-a-discharge-book-andor-british-seamans-card-msf-4509		not	0.01	0.01	0.06857500	0.06857500	0.02	0.00000000
application-for-a-duplicate-certificate-of-registry-msf-4742		not	0.01	0.01	0.02042322	0.02042322	0.02	0.00000000
application-for-a-goods-vehicle-operators-licence-gv79		not	0.01	0.07	0.71781530	0.89627333	0.07	0.00000000
application-for-a-greyhound-racetrack-welfare-licence		not	0.01	0.01	0.08685999	0.08685999	0.01	0.00000000
application-for-a-licence-to-keep-non-native-crayfish-form-cray2		not	0.01	0.01	0.01493034	0.01493034	0.01	0.00000000
application-for-a-licence-to-keep-or-introduce-non-native-aquatic-animals-form-ilfa1		not	0.01	0.01	0.01516609	0.01516609	0.02	0.00000000
application-for-a-licence-to-operate-a-travelling-circus-in-england-using-wild-animals		not	0.01	0.02	0.02031794	0.02413044	0.01	0.00000000
application-for-a-licence-to-trade-in-category-2-substances		not	0.01	0.01	0.01213512	0.01213512	0.01	0.00000000
application-for-a-new-rod-licence-by-annual-direct-debit		not	0.01	0.01	0.02835913	0.02835913	0.03	0.00000000
application-for-a-psv-operators-licence-psv421		not	0.01	0.05	1.12207956	1.22895651	0.07	0.00000000
application-for-a-replcement-of-a-bml-licence-msf-4390		not	0.01	0.01	0.07169189	0.07169189	0.01	0.00000000
application-for-a-standard-or-large-bus-permit-psv372		not	0.01	0.01	0.04989176	0.04989176	0.02	0.00000000
application-for-a-state-pension-forecast-on-divorce-or-dissolution-br20		not	0.01	0.02	0.01114464	0.01726465	0.04	0.00000000
application-for-a-state-pension-statement		not	0.01	0.03	0.06705885	0.10492067	0.02	0.00000000
application-for-a-tanker-endorsement-msf-4210		not	0.01	0.01	0.06058960	0.06058960	0.01	0.00000000
application-for-a-united-kingdom-animal-transporter-authorisation-for-type-1-authorisations-valid-for-journeys-over-65km-and-up-to-8-hours		not	0.02	0.04	0.03469963	0.10969038	0.04	0.00000000
application-for-a-united-kingdom-animal-transporter-authorisation-for-type-2-authorisations-valid-for-all-journeys-including-over-8-hours		not	0.02	0.02	0.03789549	0.07105742	0.02	0.00000000
application-for-a-united-kingdom-emergency-travel-document--2		not	0.01	0.01	0.03622561	0.03622561	0.03	0.00000000
application-for-additional-asylum-support-form-asf2		not	0.01	0.01	0.01178312	0.01178312	0.01	0.00000000
application-for-administrative-review-of-visa-decision		not	0.01	0.02	0.00694818	0.01346741	0.01	0.00000000
application-for-adr-road-vehicle-certification-adr-iii		not	0.01	0.02	0.07463741	0.14876146	0.04	0.00000000
application-for-an-adopted-person-to-apply-for-entry-onto-part-1-of-the-adoption-contact-register		not	0.01	0.01	0.01967087	0.01967087	0.01	0.00000000
application-for-an-environmental-impact-assessment-screening-decision-eia1		not	0.01	0.02	0.04146891	0.04502363	0.02	0.00000000
application-for-an-environmental-impact-assessment-screening-decision-eia1a		not	0.01	0.01	0.04005814	0.04005814	0.02	0.00000000
application-for-an-environmental-permit-part-a-about-you		not	0.01	0.02	0.04208050	0.05480356	0.02	0.00000000
application-for-an-environmental-permit-part-b1-standard-facilities-permit		not	0.01	0.02	0.09394951	0.18447428	0.05	0.00000000
application-for-an-environmental-permit-part-b10-flood-risk-activities		not	0.02	0.02	0.10324316	0.19313087	0.01	0.00000000
application-for-an-environmental-permit-part-b11-standard-rules-permit-for-flood-risk-activities		not	0.02	0.02	0.10221310	0.19362602	0.01	0.00000000
application-for-an-environmental-permit-part-b2-new-bespoke		not	0.01	0.02	0.08963957	0.16057682	0.01	0.00000000
application-for-an-environmental-permit-part-b3-new-bespoke-installation		not	0.01	0.02	0.11369009	0.12706261	0.01	0.00000000
application-for-an-environmental-permit-part-b35		not	0.01	0.02	0.13173981	0.16228247	0.01	0.00000000
application-for-an-environmental-permit-part-b4-new-bespoke-waste-operation		not	0.01	0.02	0.09167423	0.10240402	0.01	0.00000000
application-for-an-environmental-permit-part-b5-new-bespoke-mining-waste-operation		not	0.01	0.02	0.06926765	0.07700529	0.01	0.00000000
application-for-an-environmental-permit-part-b6-new-bespoke-water-discharge-activity-and-groundwater-point-source-activity		not	0.01	0.02	0.09399529	0.11070681	0.01	0.00000000
application-for-an-environmental-permit-part-b65-discharging-up-to-15m3-a-day-into-ground-or-up-to-20m3-a-day-to-surface-water		not	0.01	0.07	0.07151804	0.26535034	0.02	0.00000000
application-for-an-environmental-permit-part-b7-groundwater		not	0.01	0.02	0.08292036	0.11099596	0.01	0.00000000
application-for-an-environmental-permit-part-c05-administrative-variation-of-a-standard-or-bespoke-permit		not	0.01	0.02	0.08727074	0.09978971	0.01	0.00000000
application-for-an-environmental-permit-part-c1-varying-a-standard-facilities-permit		not	0.01	0.02	0.09590349	0.18582449	0.04	0.00000000
application-for-an-environmental-permit-part-c2-varying-a-bespoke-permit		not	0.01	0.02	0.08935261	0.16604309	0.01	0.00000000
application-for-an-environmental-permit-part-c3-varying-a-bespoke-installation-permit		not	0.01	0.02	0.09322195	0.10678272	0.01	0.00000000
application-for-an-environmental-permit-part-c4-varying-a-bespoke-waste-operation-permit		not	0.01	0.02	0.08803902	0.10778322	0.01	0.00000000
application-for-an-environmental-permit-part-c5-varying-a-permit-to-become-a-mining-waste-operation-permit		not	0.01	0.02	0.06504164	0.07325315	0.01	0.00000000
application-for-an-environmental-permit-part-c6-varying-a-water-discharge-activity-and-groundwater-point-source-activity		not	0.01	0.02	0.09265556	0.10688400	0.01	0.00000000
application-for-an-environmental-permit-part-c7-varying-a-bespoke-groundwater-permit		not	0.01	0.02	0.02929468	0.05735626	0.01	0.00000000
application-for-an-environmental-permit-part-d2-application-for-transfer		not	0.01	0.02	0.05403118	0.06559877	0.01	0.00000000
application-for-an-environmental-permit-part-e2-surrender-application		not	0.01	0.02	0.06681480	0.07513294	0.01	0.00000000
application-for-an-environmental-permit-part-f1-opra-charges-declarations		not	0.01	0.02	0.02677422	0.04777498	0.03	0.00000000
application-for-an-environmental-permit-part-f2-charging-for-discharges		not	0.01	0.02	0.02497826	0.04728508	0.01	0.00000000
application-for-an-environmental-permit-part-f3-charging-for-flood-risk-activities-and-declarations		not	0.02	0.02	0.09840412	0.11085815	0.02	0.00000000
application-for-an-environmental-permit-part-rsr-b6-norm-waste-from-the-production-of-oil-and-gas		not	0.01	0.02	0.08777418	0.09576302	0.01	0.00000000
application-for-an-export-certificate-to-accompany-a-consignment-of-fertiliser-s-for-export		not	0.01	0.01	0.02640610	0.02640610	0.01	0.00000000
application-for-an-individual-licence-to-deposit-lobsters-lobster-order-1981		not	0.01	0.01	0.00545244	0.00545244	0.01	0.00000000
application-for-an-ingredient-derogation-under-commission-regulation-ec-207-93		not	0.01	0.01	0.01648760	0.01648760	0.01	0.00000000
application-for-an-interim-licence-or-interim-direction-int1		not	0.01	0.01	0.01422949	0.01422949	0.02	0.00000000
application-for-approval-as-a-workshop-for-recording-equipment-gv-207		not	0.01	0.01	0.02602139	0.02602139	0.01	0.00000000
application-for-approval-or-re-inspection-as-a-poultry-compartment-free-from-avian-influenza-and-newcastle-disease		not	0.02	0.01	0.01418047	0.01418047	0.02	0.00000000
application-for-approved-gate-check-status		not	0.01	0.03	0.03744535	0.05318880	0.02	0.00000000
application-for-benefits-for-visa-holder-domestic-violence		not	0.01	0.01	0.00620766	0.00620766	0.02	0.00000000
application-for-blue-certificate-for-croatian-form-cr2		not	0.01	0.01	0.05506315	0.05506315	0.06	0.00000000
application-for-blue-or-yellow-certificate-for-croatian-form-cr1		not	0.01	0.01	0.05687475	0.05687475	0.09	0.00000000
application-for-british-national-type-approval		not	0.01	0.01	0.22206535	0.22206535	0.01	0.00000000
application-for-british-national-type-approval--2		not	0.01	0.01	0.09570427	0.09570427	0.01	0.00000000
application-for-bunker-and-tanker-certificates-msf-3233		not	0.01	0.01	0.06151876	0.06151876	0.06	0.00000000
application-for-certificate-showing-right-of-abode		not	0.01	0.02	0.03906479	0.06009464	0.06	0.00000000
application-for-change-of-conditions-of-leave-to-allow-access-to-public-funds-if-your-circumstances-change		not	0.01	0.02	0.06675701	0.09920044	0.03	0.00000000
application-for-commission-noticemutual-recognition		not	0.01	0.01	0.12672777	0.12672777	0.02	0.00000000
application-for-commission-noticemutual-recognition--15		not	0.01	0.01	0.12608538	0.12608538	0.02	0.00000000
application-for-commission-noticemutual-recognition--16		not	0.01	0.01	0.12731943	0.12731943	0.02	0.00000000
application-for-commission-noticemutual-recognition--17		not	0.01	0.01	0.12684402	0.12684402	0.02	0.00000000
application-for-confirmation-of-british-nationality-status-form-ns		not	0.01	0.02	0.03562031	0.06647291	0.02	0.00000000
application-for-deployment-of-mobile-plant-for-land-spreading-of-waste		not	0.01	0.02	0.11887484	0.14256496	0.03	0.00000000
application-for-deposit-of-civil-partnership-certificate		not	0.01	0.01	0.00515594	0.00515594	0.01	0.00000000
application-for-derivative-residence-card-in-uk-form-drf1		not	0.01	0.01	0.09461279	0.09461279	0.09	0.00000000
application-for-duplicate-citizenship-certificate-form-nc		not	0.01	0.01	0.00544462	0.00544462	0.02	0.00000000
application-for-eea-family-permit-form-vaf5		not	0.01	0.02	0.02865591	0.04089909	0.01	0.00000000
application-for-endorsement-for-tier-1-exceptional-talent-visa		not	0.01	0.02	0.14212465	0.18279619	0.19	0.00000000
application-for-eu-regular-bus-service		not	0.01	0.01	0.00983276	0.00983276	0.01	0.00000000
application-for-funding-for-independent-sexual-violence-adviser-isva-services		not	0.01	0.01	0.01701002	0.01701002	0.01	0.00000000
