count	ngram
148	complete this form with proper care may result
148	to complete this form with proper care may
148	failure to complete this form with proper care
148	a result a mistake is made in the
148	form with proper care may result in a
148	result a mistake is made in the register
148	registration act if as a result a mistake
148	as a result a mistake is made in
148	under the land registration act if as a
148	if as a result a mistake is made
148	this form with proper care may result in
148	land registration act if as a result a
148	with proper care may result in a loss
148	protection under the land registration act if as
148	act if as a result a mistake is
148	the land registration act if as a result
147	or an unlimited fine or both failure to
147	both failure to complete this form with proper
147	imprisonment or an unlimited fine or both failure
147	fine or both failure to complete this form
147	an unlimited fine or both failure to complete
147	unlimited fine or both failure to complete this
147	or both failure to complete this form with
146	loss of protection under the land registration act
146	proper care may result in a loss of
146	of protection under the land registration act if
146	a loss of protection under the land registration
146	in a loss of protection under the land
146	care may result in a loss of protection
146	result in a loss of protection under the
146	may result in a loss of protection under
145	in black ink and in block capitals if
144	gov uk government uploads system uploads attachment data
144	will help you fill in this form go
144	that will help you fill in this form
144	warning if you dishonestly enter information or make
144	uk government uploads system uploads attachment data file
144	www gov uk government uploads system uploads attachment
143	black ink and in block capitals if you
142	capitals if you need more room than is
142	block capitals if you need more room than
142	in block capitals if you need more room
142	and in block capitals if you need more
142	ink and in block capitals if you need
142	box check box check box check box check
142	https www gov uk government uploads system uploads
141	you with what is already in our records
140	d m m y y y y date
139	a data controller under the data protection act
139	the best of my knowledge and belief the
139	is a data controller under the data protection
138	to an application to the registrar or referred
138	that part of the document to be made
138	kept by the registrar relating to an application
138	using form ex under rule of the land
138	in the register under section of the land
138	believe a document contains prejudicial information you may
138	register are open to public inspection and copying
138	to public inspection and copying if you believe
138	form kept by the registrar relating to an
138	the document to be made exempt using form
138	of the document to be made exempt using
138	most documents including this form kept by the
138	to the registrar or referred to in the
138	mistake is made in the register under section
138	or referred to in the register are open
138	processed in accordance with the data protection act
138	application to the registrar or referred to in
138	and complete to the best of my knowledge
138	to be made exempt using form ex under
138	the registrar or referred to in the register
138	is made in the register under section of
138	of the land registration act most documents including
138	relating to an application to the registrar or
138	part of the document to be made exempt
138	the land registration act most documents including this
138	in the register are open to public inspection
138	registrar relating to an application to the registrar
138	and copying if you believe a document contains
138	document contains prejudicial information you may apply for
138	public inspection and copying if you believe a
138	exempt using form ex under rule of the
138	copying if you believe a document contains prejudicial
138	may apply for that part of the document
138	apply for that part of the document to
138	an application to the registrar or referred to
138	a mistake is made in the register under
138	act most documents including this form kept by
138	registrar or referred to in the register are
138	open to public inspection and copying if you
138	to in the register are open to public
138	the register under section of the land registration
138	for that part of the document to be
138	information you may apply for that part of
138	made exempt using form ex under rule of
138	if you believe a document contains prejudicial information
138	be made exempt using form ex under rule
138	prejudicial information you may apply for that part
138	the register are open to public inspection and
138	documents including this form kept by the registrar
138	under section of the land registration act most
138	register under section of the land registration act
138	form ex under rule of the land registration
138	contains prejudicial information you may apply for that
138	the registrar relating to an application to the
138	a document contains prejudicial information you may apply
138	by the registrar relating to an application to
138	land registration act most documents including this form
138	this form kept by the registrar relating to
138	registration act most documents including this form kept
138	are open to public inspection and copying if
138	ex under rule of the land registration rules
138	you believe a document contains prejudicial information you
138	the website at www companieshouse gov uk further
138	section of the land registration act most documents
138	including this form kept by the registrar relating
138	you may apply for that part of the
138	document to be made exempt using form ex
138	inspection and copying if you believe a document
138	made in the register under section of the
138	referred to in the register are open to
137	data protection act we hold information for the
137	the data protection act we hold information for
137	protection act we hold information for the purposes
137	data controller under the data protection act we
137	under the data protection act we hold information
137	controller under the data protection act we hold
136	is provided for in a panel and your
136	under rule of the land registration rules crown
136	a panel and your software allows you can
136	rule of the land registration rules crown copyright
136	the form alternatively use continuation sheet cs and
136	panel in the form alternatively use continuation sheet
136	for in a panel and your software allows
136	land registration rules crown copyright ref lr ho
136	can expand any panel in the form alternatively
136	expand any panel in the form alternatively use
136	provided for in a panel and your software
136	panel and your software allows you can expand
136	of the land registration rules crown copyright ref
136	than is provided for in a panel and
136	and your software allows you can expand any
136	allows you can expand any panel in the
136	you can expand any panel in the form
136	software allows you can expand any panel in
136	your software allows you can expand any panel
136	the land registration rules crown copyright ref lr
136	in the form alternatively use continuation sheet cs
136	in a panel and your software allows you
136	any panel in the form alternatively use continuation
135	website at www companieshouse gov uk further informationi
134	continuation sheet cs and attach it to this
134	sheet cs and attach it to this form
134	form alternatively use continuation sheet cs and attach
134	alternatively use continuation sheet cs and attach it
134	use continuation sheet cs and attach it to
133	www gov uk companieshouse further informationi checklist we
133	uk companieshouse further informationi checklist we may return
133	gov uk companieshouse further informationi checklist we may
133	at www gov uk companieshouse further informationi checklist
133	natural england horizon house deanery road bristol bs
133	england horizon house deanery road bristol bs ah
131	companieshouse further informationi checklist we may return forms
130	cardiff road newport south wales np qq rev
130	licence visit www nationalarchives gov uk doc open
130	visit www nationalarchives gov uk doc open government
130	cf uz dx cardiff for companies registered in
129	wildlife licensing natural england horizon house deanery road
128	helpsheets that will help you fill in this
128	licensing natural england horizon house deanery road bristol
128	uz dx cardiff for companies registered in scotland
128	notes and helpsheets that will help you fill
128	and helpsheets that will help you fill in
128	complete to the best of my knowledge and
126	free of charge in any format or medium
125	companies registered in northern ireland the registrar of
125	name number street post town county region country
125	for companies registered in northern ireland the registrar
124	companies registered in scotland the registrar of companies
124	wales cf uz dx cardiff for companies registered
124	cardiff wales cf uz dx cardiff for companies
124	for companies registered in scotland the registrar of
123	in any format or medium under the terms
123	medium under the terms of the open government
123	or medium under the terms of the open
123	of charge in any format or medium under
123	format or medium under the terms of the
123	legal post for companies registered in northern ireland
123	charge in any format or medium under the
123	any format or medium under the terms of
123	or lp edinburgh legal post for companies registered
123	lp edinburgh legal post for companies registered in
123	edinburgh legal post for companies registered in northern
122	cardiff for companies registered in scotland the registrar
122	but this will not be done unless there
122	post for companies registered in northern ireland the
122	dx cardiff for companies registered in scotland the
122	edinburgh or lp edinburgh legal post for companies
121	is an executive agency of the department for
121	this form may be signed by director secretary
120	of the department for environment food and rural
120	date d d m m y y y
120	number street post town county region country postcode
117	agency of the department for environment food and
117	you fill in this form go to www
117	executive agency of the department for environment food
117	an executive agency of the department for environment
116	contact information that you give will be visible
116	on the form the contact information that you
116	that you give will be visible to searchers
116	query on the form the contact information that
116	the contact information that you give will be
116	the form the contact information that you give
116	form the contact information that you give will
116	information that you give will be visible to
116	customer research aimed at improving the services that
116	logos free of charge in any format or
115	version company details company name in full company
114	get notes and helpsheets that will help you
114	text text text text text text text text
114	you in connection with occasional customer research aimed
114	in connection with occasional customer research aimed at
114	address including postcode if any or other description
114	to get notes and helpsheets that will help
114	contact you in connection with occasional customer research
114	if any or other description of the property
114	insert address including postcode if any or other
114	postcode if any or other description of the
114	including postcode if any or other description of
114	signature i am signing this form on behalf
113	connection with occasional customer research aimed at improving
113	with occasional customer research aimed at improving the
112	is true to the best of my knowledge
112	to contact you in connection with occasional customer
112	occasional customer research aimed at improving the services
112	signing this form on behalf of the company
111	under either section or of the companies act
111	www gov uk self assessment forms and helpsheets
110	authorised under either section or of the companies
110	person authorised under either section or of the
109	the environmental information regulations and the freedom of
109	information regulations and the freedom of information act
109	under the environmental information regulations and the freedom
109	environmental information regulations and the freedom of information
108	expect from us and what we expect from
108	may get information about you from others or
108	from us and what we expect from you
107	will not permit any unwarranted breach of confidentiality
107	to view this licence visit www nationalarchives gov
107	is already in our records this can include
107	what is already in our records this can
107	include information provided by you as well as
107	we receive about you with what is already
107	information we receive about you with what is
107	www gov uk companieshouse filling in this form
107	our records this can include information provided by
107	check information we receive about you with what
107	you can expect from us and what we
107	what you can expect from us and what
107	records this can include information provided by you
107	can include information provided by you as well
107	with what is already in our records this
107	view this licence visit www nationalarchives gov uk
107	about you from others or we may give
107	get information about you from others or we
107	this licence visit www nationalarchives gov uk doc
107	we may check information we receive about you
107	this can include information provided by you as
107	can expect from us and what we expect
107	information about you from others or we may
107	may check information we receive about you with
106	name number street post town county region postcode
106	already in our records this can include information
106	or other description of the property for example
106	and processed in accordance with the data protection
106	gov uk companieshouse filling in this form please
106	uk companieshouse filling in this form please complete
106	receive about you with what is already in
106	companieshouse filling in this form please complete in
106	the property for example land adjoining acacia avenue
106	description of the property for example land adjoining
106	you from others or we may give information
106	about you with what is already in our
106	of the property for example land adjoining acacia
106	other description of the property for example land
106	any or other description of the property for
106	from others or we may give information to
106	in our records this can include information provided
106	others or we may give information to them
105	unless the law permits us to do so
105	and plant health for the benefit of people
105	guidance at www gov uk companieshouse filling in
105	the benefit of people the environment and the
105	you need help to fill in this form
105	animal and plant health for the benefit of
105	if you need help to fill in this
105	to safeguard animal and plant health for the
105	our guidance at www gov uk companieshouse filling
105	health for the benefit of people the environment
105	benefit of people the environment and the economy
105	safeguard animal and plant health for the benefit
105	for the benefit of people the environment and
105	at www gov uk companieshouse filling in this
105	plant health for the benefit of people the
105	is correct to the best of my knowledge
104	in accordance with the data protection act this
104	data we hold on you how we use
104	accordance with the data protection act this act
104	information will be stored and processed in accordance
104	with the data protection act this act gives
104	stored and processed in accordance with the data
104	your information will be stored and processed in
104	be stored and processed in accordance with the
104	will be stored and processed in accordance with
103	know what data we hold on you how
103	are correct to the best of my knowledge
103	the right to know what data we hold
103	we use it with whom we share it
103	what data we hold on you how we
103	right to know what data we hold on
103	hold on you how we use it with
103	the data protection act this act gives you
103	use it with whom we share it and
103	it will only be as the law permits
103	we hold on you how we use it
103	you how we use it with whom we
103	important information all information on this form will
103	on you how we use it with whom
103	how we use it with whom we share
103	information all information on this form will appear
103	to know what data we hold on you
102	if we do it will only be as
102	will only be as the law permits to
102	hm land registry is unable to give legal
102	them if we do it will only be
102	we do it will only be as the
102	registry is unable to give legal advice but
102	only be as the law permits to check
102	land registry is unable to give legal advice
102	to them if we do it will only
102	do it will only be as the law
101	public funds we may check information we receive
101	may be signed by director secretary person authorised
101	us and what we expect from you for
101	funds we may check information we receive about
101	information to them if we do it will
101	what we expect from you for more information
101	form may be signed by director secretary person
101	protect public funds we may check information we
101	and what we expect from you for more
100	we may give information to them if we
100	give information to them if we do it
100	is unable to give legal advice but you
100	land registry applications including our practice guides for
100	rights and obligations your charter explains what you
100	to give legal advice but you can find
100	registry applications including our practice guides for conveyancers
100	for conveyancers at www gov uk land registry
100	our practice guides for conveyancers at www gov
100	including logos free of charge in any format
100	give legal advice but you can find guidance
100	expect from you for more information go to
100	legal advice but you can find guidance on
100	including our practice guides for conveyancers at www
100	or we may give information to them if
100	practice guides for conveyancers at www gov uk
100	that to the best of my knowledge and
100	unable to give legal advice but you can
100	applications including our practice guides for conveyancers at
100	not including logos free of charge in any
100	guides for conveyancers at www gov uk land
100	we expect from you for more information go
100	may give information to them if we do
99	guidance on hm land registry applications including our
99	protection act this act gives you as an
99	and obligations your charter explains what you can
99	act gives you as an individual the right
99	on hm land registry applications including our practice
99	best of my knowledge and belief the information
99	data protection act this act gives you as
99	hm land registry applications including our practice guides
99	you as an individual the right to know
99	you can find guidance on hm land registry
99	of information prevent or detect crime protect public
99	but you can find guidance on hm land
99	act this act gives you as an individual
99	advice but you can find guidance on hm
99	comply with its statutory obligations under the environmental
99	gives you as an individual the right to
99	by you as well as by others such
99	can find guidance on hm land registry applications
99	your charter explains what you can expect from
99	accuracy of information prevent or detect crime protect
99	as an individual the right to know what
99	to comply with its statutory obligations under the
99	explains what you can expect from us and
99	its statutory obligations under the environmental information regulations
99	provided by you as well as by others
99	your rights and obligations your charter explains what
99	this act gives you as an individual the
99	with its statutory obligations under the environmental information
99	charter explains what you can expect from us
99	information prevent or detect crime protect public funds
99	information provided by you as well as by
99	you as well as by others such as
99	find guidance on hm land registry applications including
98	to the extent necessary to enable natural england
98	information requests to the extent necessary to enable
98	to information requests to the extent necessary to
98	natural england to comply with its statutory obligations
98	the extent necessary to enable natural england to
98	an individual the right to know what data
98	individual the right to know what data we
98	or detect crime protect public funds we may
98	to enable natural england to comply with its
98	crime protect public funds we may check information
98	necessary to enable natural england to comply with
98	enable natural england to comply with its statutory
98	complying with access to information requests to the
98	obligations under the environmental information regulations and the
98	statutory obligations under the environmental information regulations and
98	england to comply with its statutory obligations under
98	detect crime protect public funds we may check
98	with access to information requests to the extent
98	extent necessary to enable natural england to comply
98	services wildlife licensing natural england horizon house deanery
98	requests to the extent necessary to enable natural
98	prevent or detect crime protect public funds we
98	access to information requests to the extent necessary
97	research aimed at improving the services that natural
97	obligations your charter explains what you can expect
97	aimed at improving the services that natural england
97	technical services wildlife licensing natural england horizon house
97	at improving the services that natural england provides
97	the services that natural england provides to you
97	improving the services that natural england provides to
97	conservation of habitats and species regulations as amended
96	is correct and complete to the best of
96	if you need help filling in this form
96	well as by others such as other government
96	house kings pool peasholme green york yo px
96	as by others such as other government departments
96	from you for more information go to www
96	foss house kings pool peasholme green york yo
96	as well as by others such as other
95	apha is an executive agency of the department
94	if applicable name address or uk dx box
94	behalf of the scottish government welsh government and
94	natural england or its appointed agents may use
94	number if applicable name address or uk dx
94	uk dx box number email address reference phone
94	address or uk dx box number email address
94	number email address reference phone no fax no
94	the scottish government welsh government and food standards
94	box number email address reference phone no fax
94	or uk dx box number email address reference
94	of the scottish government welsh government and food
94	scottish government welsh government and food standards agency
94	key number if applicable name address or uk
94	applicable name address or uk dx box number
94	name address or uk dx box number email
94	on behalf of the scottish government welsh government
94	by key number if applicable name address or
94	that to the best of my our knowledge
94	dx box number email address reference phone no
93	the best of my our knowledge and belief
93	operating name of the patent office patents form
93	the best of my knowledge and belief and
93	law permits to check the accuracy of information
93	telephone fax and or mobile number if any
93	the law permits to check the accuracy of
93	go to www gov uk self assessment forms
93	fax and or mobile number if any of
93	check the accuracy of information prevent or detect
93	any of them we may get information about
93	information for the purposes specified in our notification
93	to check the accuracy of information prevent or
93	permits to check the accuracy of information prevent
93	the accuracy of information prevent or detect crime
93	an operating name of the patent office patents
93	also works on behalf of the scottish government
93	we hold information for the purposes specified in
93	information for any of them we may get
93	and also works on behalf of the scottish
93	to www gov uk self assessment forms and
93	department for environment food and rural affairs and
93	or mobile number if any of a contact
93	address telephone fax and or mobile number if
93	works on behalf of the scottish government welsh
93	mobile number if any of a contact point
93	hold information for the purposes specified in our
93	to the best of my our knowledge and
93	act we hold information for the purposes specified
93	for environment food and rural affairs and also
93	affairs and also works on behalf of the
93	as the law permits to check the accuracy
93	for any of them we may get information
93	nationalarchives gov uk doc open government licence version
93	correct and complete to the best of my
93	and or mobile number if any of a
93	be as the law permits to check the
93	yes no if yes please provide details of
92	privacy whilst complying with access to information requests
92	and rural affairs and also works on behalf
92	registry by key number if applicable name address
