page	name	url	organisations
tax-agents-and-advisers-authorising-your-agent-64-8	Tax agents and advisers: authorising your agent (64-8)	https://www.gov.uk/government/publications/tax-agents-and-advisers-authorising-your-agent-64-8	government-organisation:D25
v890-statutory-off-road-notification-sorn	V890: Statutory Off Road Notification (SORN)	https://www.gov.uk/government/publications/v890-statutory-off-road-notification-sorn	government-organisation:EA74
child-benefit-change-of-family-circumstances	Child Benefit: change of family circumstances	https://www.gov.uk/government/publications/child-benefit-change-of-family-circumstances	government-organisation:D25
employment-and-support-allowance-claim-form	Employment and Support Allowance claim form	https://www.gov.uk/government/publications/employment-and-support-allowance-claim-form	government-organisation:D10
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	Income Tax: claiming tax back when you have stopped working (P50)	https://www.gov.uk/government/publications/income-tax-claiming-tax-back-when-you-have-stopped-working-p50	government-organisation:D25
maternity-allowance-claim-form	Maternity Allowance claim form	https://www.gov.uk/government/publications/maternity-allowance-claim-form	government-organisation:D10
application-for-uk-visa-for-family-settlement-form-vaf4a	Application for UK visa for family settlement: form VAF4A and appendix 2	https://www.gov.uk/government/publications/application-for-uk-visa-for-family-settlement-form-vaf4a	government-organisation:OT554
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	Apply for a registration certificate as a qualified person: form EEA (QP)	https://www.gov.uk/government/publications/apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	government-organisation:OT554
application-for-transfer-of-residence-tor-relief-tor01	Application for Transfer of Residence relief (ToR1)	https://www.gov.uk/government/publications/application-for-transfer-of-residence-tor-relief-tor01	government-organisation:D25
disability-living-allowance-for-children-claim-form	Disability Living Allowance for children claim form	https://www.gov.uk/government/publications/disability-living-allowance-for-children-claim-form	government-organisation:D10
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	Apply for a registration certificate or residence card for a family member: form EEA (FM)	https://www.gov.uk/government/publications/apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	government-organisation:OT554
sure-start-maternity-grant-claim-form	Sure Start Maternity Grant claim form	https://www.gov.uk/government/publications/sure-start-maternity-grant-claim-form	government-organisation:D10
academies-budget-forecast-outturn-2016-to-2017	Academies budget forecast return: outturn 2016 to 2017	https://www.gov.uk/government/publications/academies-budget-forecast-outturn-2016-to-2017	government-organisation:EO1216
application-to-settle-in-the-uk-form-seto	Settle in the UK in various immigration categories: form SET(O)	https://www.gov.uk/government/publications/application-to-settle-in-the-uk-form-seto	government-organisation:OT554
self-assessment-employment-sa102	Self Assessment: Employment (SA102)	https://www.gov.uk/government/publications/self-assessment-employment-sa102	government-organisation:D25
application-for-a-state-pension-statement	Application for a State Pension statement	https://www.gov.uk/government/publications/application-for-a-state-pension-statement	government-organisation:D10
national-insurance-statement-of-national-insurance-contributions-ca3916	National Insurance: statement of National Insurance contributions (CA3916)	https://www.gov.uk/government/publications/national-insurance-statement-of-national-insurance-contributions-ca3916	government-organisation:D25
application-to-extend-stay-in-the-uk-form-flrfp	Application to extend stay in the UK: form FLR(FP)	https://www.gov.uk/government/publications/application-to-extend-stay-in-the-uk-form-flrfp	government-organisation:OT554
application-to-transfer-indefinite-leave-to-remain-in-uk-form-ntl	Application to transfer indefinite leave to remain in UK: form NTL	https://www.gov.uk/government/publications/application-to-transfer-indefinite-leave-to-remain-in-uk-form-ntl	government-organisation:OT554
self-assessment-self-employment-short-sa103s	Self Assessment: self-employment (short) (SA103S)	https://www.gov.uk/government/publications/self-assessment-self-employment-short-sa103s	government-organisation:D25
ordinary-statutory-paternity-pay-and-leave-becoming-a-birth-parent-sc3	Statutory Paternity Pay and Leave: becoming a birth parent (SC3)	https://www.gov.uk/government/publications/ordinary-statutory-paternity-pay-and-leave-becoming-a-birth-parent-sc3	government-organisation:D25
income-tax-claim-for-repayment-of-tax-deducted-from-savings-and-investments-r40	Income Tax: claim for repayment of tax deducted from savings and investments (R40)	https://www.gov.uk/government/publications/income-tax-claim-for-repayment-of-tax-deducted-from-savings-and-investments-r40	government-organisation:D25
application-for-uk-visa-to-visit-or-for-short-term-stay-form-vaf1a	Application for UK visa to visit or for short-term stay: form VAF1A	https://www.gov.uk/government/publications/application-for-uk-visa-to-visit-or-for-short-term-stay-form-vaf1a	government-organisation:OT554
inheritance-tax-inheritance-tax-account-iht400	Inheritance Tax account (IHT400)	https://www.gov.uk/government/publications/inheritance-tax-inheritance-tax-account-iht400	government-organisation:D25
sponsor-a-visa-applicant-form-su07	Sponsor a visa applicant: form SU07	https://www.gov.uk/government/publications/sponsor-a-visa-applicant-form-su07	government-organisation:OT554
d777b-application-for-a-digital-tachograph-driver-card	D777B/DL - Application for a digital tachograph driver card	https://www.gov.uk/government/publications/d777b-application-for-a-digital-tachograph-driver-card	government-organisation:EA74
official-copies-of-documents-registration-oc2	Official copies of documents: registration (OC2)	https://www.gov.uk/government/publications/official-copies-of-documents-registration-oc2	government-organisation:D69
child-benefit-child-continuing-in-approved-education-or-training-ch297	Child Benefit: child continuing in approved education or training (CH297)	https://www.gov.uk/government/publications/child-benefit-child-continuing-in-approved-education-or-training-ch297	government-organisation:D25
income-support-claim-form	Income Support claim form	https://www.gov.uk/government/publications/income-support-claim-form	government-organisation:D10
paye-end-of-year-expenses-and-benefits-p11db	PAYE: end-of-year expenses and benefits (P11D(b))	https://www.gov.uk/government/publications/paye-end-of-year-expenses-and-benefits-p11db	government-organisation:D25
income-tax-repayment-claim-when-small-pension-taken-as-a-lump-sum-p53	Income Tax: repayment claim when small pension taken as a lump sum (P53)/(P53Z)	https://www.gov.uk/government/publications/income-tax-repayment-claim-when-small-pension-taken-as-a-lump-sum-p53	government-organisation:D25
registered-titles-whole-transfer-tr1	Registered title(s): whole transfer (TR1)	https://www.gov.uk/government/publications/registered-titles-whole-transfer-tr1	government-organisation:D69
application-for-a-replacement-biometric-residence-permit-brprc	Application for a replacement biometric residence permit: BRP(RC)	https://www.gov.uk/government/publications/application-for-a-replacement-biometric-residence-permit-brprc	government-organisation:OT554
self-assessment-uk-property-sa105	Self Assessment: UK property (SA105)	https://www.gov.uk/government/publications/self-assessment-uk-property-sa105	government-organisation:D25
paye-end-of-year-expenses-and-benefits-online-form	PAYE: end-of-year expenses and benefits (online form)	https://www.gov.uk/government/publications/paye-end-of-year-expenses-and-benefits-online-form	government-organisation:D25
d4-medical-examiner-report-for-a-lorry-or-bus-driving-licence	D4 - Medical examiner report for a lorry or bus driving licence	https://www.gov.uk/government/publications/d4-medical-examiner-report-for-a-lorry-or-bus-driving-licence	government-organisation:EA74
mot-inspection-checklist-vt-29	Plain paper MOT inspection checklist (VT29)	https://www.gov.uk/government/publications/mot-inspection-checklist-vt-29	government-organisation:EA570
apply-for-help-with-court-and-tribunal-fees	Apply for help with court and tribunal fees	https://www.gov.uk/government/publications/apply-for-help-with-court-and-tribunal-fees	government-organisation:D18;government-organisation:EA73
non-resident-landlord-application-to-receive-uk-rental-income-without-deduction-of-uk-tax-individuals-nrl1i	Non-resident landlord: application to have UK rental income without deduction of UK tax - individuals (NRL1i)	https://www.gov.uk/government/publications/non-resident-landlord-application-to-receive-uk-rental-income-without-deduction-of-uk-tax-individuals-nrl1i	government-organisation:D25
v888-request-by-an-individual-for-information-about-a-vehicle	V888: request by an individual for information about a vehicle	https://www.gov.uk/government/publications/v888-request-by-an-individual-for-information-about-a-vehicle	government-organisation:EA74
power-of-attorney-fees	Lasting or enduring power of attorney fee: exemption or remission	https://www.gov.uk/government/publications/power-of-attorney-fees	government-organisation:EA72
flexibly-accessed-pension-payment-repayment-claim-tax-year-p55	Flexibly accessed pension payment: repayment claim (P55)	https://www.gov.uk/government/publications/flexibly-accessed-pension-payment-repayment-claim-tax-year-p55	government-organisation:D25
report-a-lost-or-stolen-passport-form-ls01	Report a lost or stolen British passport from overseas	https://www.gov.uk/government/publications/report-a-lost-or-stolen-passport-form-ls01	government-organisation:EA66
application-to-settle-in-the-uk-form-setm	Settle in the UK as the partner of a person who is in the UK and settled here: form SET(M)	https://www.gov.uk/government/publications/application-to-settle-in-the-uk-form-setm	government-organisation:OT554
capability-for-work-questionnaire	Capability for work questionnaire	https://www.gov.uk/government/publications/capability-for-work-questionnaire	government-organisation:D10
housing-benefit-claim-form	Housing Benefit claim form	https://www.gov.uk/government/publications/housing-benefit-claim-form	government-organisation:D10
applying-for-a-passport-from-outside-the-uk-application-form	Applying for a passport from outside the UK: application form	https://www.gov.uk/government/publications/applying-for-a-passport-from-outside-the-uk-application-form	government-organisation:EA66
stamp-duty-land-tax-apply-for-a-repayment-of-the-higher-rates-for-additional-properties	Stamp Duty Land Tax: apply for a repayment of the higher rates for additional properties	https://www.gov.uk/government/publications/stamp-duty-land-tax-apply-for-a-repayment-of-the-higher-rates-for-additional-properties	government-organisation:D25
self-assessment-capital-gains-summary-sa108	Self Assessment: Capital gains summary (SA108)	https://www.gov.uk/government/publications/self-assessment-capital-gains-summary-sa108	government-organisation:D25
set-up-or-cancel-a-dart-charge-account-by-post	Set up or cancel a Dart Charge account by post	https://www.gov.uk/government/publications/set-up-or-cancel-a-dart-charge-account-by-post	government-organisation:EA1114
requests-for-personal-data-uk-visas-and-immigration	Request your personal data from UK Visas and Immigration	https://www.gov.uk/government/publications/requests-for-personal-data-uk-visas-and-immigration	government-organisation:OT554
verify-identity-citizen-id1	Verify identity: citizen (ID1)	https://www.gov.uk/government/publications/verify-identity-citizen-id1	government-organisation:D69
confirmation-statement-cs01	Confirmation statement (CS01)	https://www.gov.uk/government/publications/confirmation-statement-cs01	government-organisation:EA26
appoint-a-director-ap01	Appoint a director (AP01)	https://www.gov.uk/government/publications/appoint-a-director-ap01	government-organisation:EA26
statutory-sick-pay-employee-not-entitled-form-for-employers	Statutory Sick Pay: employee not entitled – form for employers	https://www.gov.uk/government/publications/statutory-sick-pay-employee-not-entitled-form-for-employers	government-organisation:D10
statutory-maternity-pay-employee-not-entitled-form-for-employers	Statutory Maternity Pay: employee not entitled – form for employers	https://www.gov.uk/government/publications/statutory-maternity-pay-employee-not-entitled-form-for-employers	government-organisation:D10
terminate-an-appointment-of-a-director-tm01	Terminate an appointment of a director (TM01)	https://www.gov.uk/government/publications/terminate-an-appointment-of-a-director-tm01	government-organisation:EA26
application-to-settle-in-uk-form-setlr	Settle in the UK on the basis of long residence: form SET(LR)	https://www.gov.uk/government/publications/application-to-settle-in-uk-form-setlr	government-organisation:OT554
national-insurance-employment-history-request	National Insurance: employment history request	https://www.gov.uk/government/publications/national-insurance-employment-history-request	government-organisation:D25
application-for-home-office-travel-document-form-td112-brp	Application for Home Office travel document: form TD112 BRP	https://www.gov.uk/government/publications/application-for-home-office-travel-document-form-td112-brp	government-organisation:OT554
give-notice-of-subscribers-company-with-share-capital	Give notice of subscribers: company with share capital	https://www.gov.uk/government/publications/give-notice-of-subscribers-company-with-share-capital	government-organisation:EA26
self-assessment-self-employment-full-sa103f	Self Assessment: Self-employment (full) (SA103F)	https://www.gov.uk/government/publications/self-assessment-self-employment-full-sa103f	government-organisation:D25
carers-allowance-claim-form	Carer's Allowance claim form	https://www.gov.uk/government/publications/carers-allowance-claim-form	government-organisation:D10
service-personnel-and-veterans-agency-spva-pensions-forms	Veterans UK pensions forms	https://www.gov.uk/government/publications/service-personnel-and-veterans-agency-spva-pensions-forms	government-organisation:D17;government-organisation:OT1087
official-copies-of-register-or-plan-registration-oc1	Official copies of register or plan: registration (OC1)	https://www.gov.uk/government/publications/official-copies-of-register-or-plan-registration-oc1	government-organisation:D69
self-assessment-register-a-partner-for-self-assessment-and-class-2-nics-sa401	Self Assessment: Register a partner for Self Assessment and Class 2 NICs (SA401)	https://www.gov.uk/government/publications/self-assessment-register-a-partner-for-self-assessment-and-class-2-nics-sa401	government-organisation:D25
gift-aid-schedule-spreadsheets-to-claim-back-tax-on-donations	Gift Aid: schedule spreadsheets to claim back tax on donations	https://www.gov.uk/government/publications/gift-aid-schedule-spreadsheets-to-claim-back-tax-on-donations	government-organisation:D25
apply-for-a-certificate-of-residence-in-the-uk	Apply for a certificate of residence for tax purposes	https://www.gov.uk/government/publications/apply-for-a-certificate-of-residence-in-the-uk	government-organisation:D25
vat-application-for-registration-vat1	VAT: application for registration (VAT1)	https://www.gov.uk/government/publications/vat-application-for-registration-vat1	government-organisation:D25
pay-the-dartford-crossing-charge-dart-charge-by-post	Pay the Dartford Crossing charge (Dart Charge) by post	https://www.gov.uk/government/publications/pay-the-dartford-crossing-charge-dart-charge-by-post	government-organisation:EA1114
child-benefit-general-enquiry	Child Benefit: change of child circumstances	https://www.gov.uk/government/publications/child-benefit-general-enquiry	government-organisation:D25
funeral-payment-claim-form	Funeral Payment claim form	https://www.gov.uk/government/publications/funeral-payment-claim-form	government-organisation:D10
self-assessment-residence-remittance-basis-etc-sa109	Self Assessment: Residence, remittance basis etc (SA109)	https://www.gov.uk/government/publications/self-assessment-residence-remittance-basis-etc-sa109	government-organisation:D25
application-form-for-uk-visa-to-work-study-and-for-dependants-and-right-of-abode-form-vaf2	Application form for UK visa to work, study and for dependants and right of abode: form VAF2	https://www.gov.uk/government/publications/application-form-for-uk-visa-to-work-study-and-for-dependants-and-right-of-abode-form-vaf2	government-organisation:OT554
change-a-registered-office-address-ad01	Change a registered office address (AD01)	https://www.gov.uk/government/publications/change-a-registered-office-address-ad01	government-organisation:EA26
self-assessment-appeal-against-penalties-for-late-filing-and-late-payment-sa370	Self Assessment: appeal against penalties for late filing and late payment	https://www.gov.uk/government/publications/self-assessment-appeal-against-penalties-for-late-filing-and-late-payment-sa370	government-organisation:D25
budgeting-loan-claim-form	Budgeting Loan claim form	https://www.gov.uk/government/publications/budgeting-loan-claim-form	government-organisation:D10
application-for-vehicle-tax-v10	Application for vehicle tax (V10)	https://www.gov.uk/government/publications/application-for-vehicle-tax-v10	government-organisation:EA74
the-basic-state-pension	State Pension claim form	https://www.gov.uk/government/publications/the-basic-state-pension	government-organisation:D10
vat-changes-to-registration-details-vat484	VAT: changes to registration details (VAT484)	https://www.gov.uk/government/publications/vat-changes-to-registration-details-vat484	government-organisation:D25
self-assessment-foreign-sa106	Self Assessment: Foreign (SA106)	https://www.gov.uk/government/publications/self-assessment-foreign-sa106	government-organisation:D25
deceased-joint-proprietor-djp	Deceased joint proprietor (DJP)	https://www.gov.uk/government/publications/deceased-joint-proprietor-djp	government-organisation:D69
vat-notification-of-errors-in-vat-returns-vat-652	VAT: notification of errors in VAT returns (VAT652)	https://www.gov.uk/government/publications/vat-notification-of-errors-in-vat-returns-vat-652	government-organisation:D25
apprenticeship-agreement-template	Apprenticeship agreement: template	https://www.gov.uk/government/publications/apprenticeship-agreement-template	government-organisation:EA86
paye-car-and-car-fuel-benefit-p11d-ws2	PAYE: car and car fuel benefit (P11D WS2)	https://www.gov.uk/government/publications/paye-car-and-car-fuel-benefit-p11d-ws2	government-organisation:D25
application-to-transfer-visa-to-biometric-residence-permit-form-toc	Application to transfer visa to biometric residence permit: form TOC	https://www.gov.uk/government/publications/application-to-transfer-visa-to-biometric-residence-permit-form-toc	government-organisation:OT554
application-to-extend-stay-in-the-uk-flrhro	Application to extend stay in the UK: FLR(HRO)	https://www.gov.uk/government/publications/application-to-extend-stay-in-the-uk-flrhro	government-organisation:OT554
application-to-extend-stay-in-the-uk-flrir	Application to extend stay in the UK: FLR(IR)	https://www.gov.uk/government/publications/application-to-extend-stay-in-the-uk-flrir	government-organisation:OT554
self-assessment-register-a-partnership-for-self-assessment-sa400	Self Assessment: register a partnership for Self Assessment (SA400)	https://www.gov.uk/government/publications/self-assessment-register-a-partnership-for-self-assessment-sa400	government-organisation:D25
application-for-uk-visa-under-tier-4-general-form-vaf9-appendix-8	Application for UK visa under Tier 4 (General): form VAF9 appendix 8	https://www.gov.uk/government/publications/application-for-uk-visa-under-tier-4-general-form-vaf9-appendix-8	government-organisation:OT554
national-insurance-application-for-form-e101-if-self-employed-in-european-economic-area-ca3837	National Insurance: apply for a portable document A1/E101 if self-employed in European Economic Area (CA3837)	https://www.gov.uk/government/publications/national-insurance-application-for-form-e101-if-self-employed-in-european-economic-area-ca3837	government-organisation:D25
reply-to-a-hmrc-tax-credits-check-tc122	Reply to a HMRC tax credits check (TC122)	https://www.gov.uk/government/publications/reply-to-a-hmrc-tax-credits-check-tc122	government-organisation:D25
return-of-allotment-of-shares-sh01	Return of allotment of shares (SH01)	https://www.gov.uk/government/publications/return-of-allotment-of-shares-sh01	government-organisation:EA26
vat-application-to-cancel-your-vat-registration-vat7	VAT: application to cancel your VAT registration (VAT7)	https://www.gov.uk/government/publications/vat-application-to-cancel-your-vat-registration-vat7	government-organisation:D25
paye-car-provided-to-employee-for-private-use-p46car	PAYE: car provided to employee for private use (P46(Car))	https://www.gov.uk/government/publications/paye-car-provided-to-employee-for-private-use-p46car	government-organisation:D25
application-for-uk-visa-as-tier-2-worker-form-vaf9-appendix-5	Application for UK visa as Tier 2 worker: form VAF9 appendix 5	https://www.gov.uk/government/publications/application-for-uk-visa-as-tier-2-worker-form-vaf9-appendix-5	government-organisation:OT554
register-an-enduring-power-of-attorney	Register an enduring power of attorney	https://www.gov.uk/government/publications/register-an-enduring-power-of-attorney	government-organisation:EA72
enter-a-restriction-registration-rx1	Enter a restriction: registration (RX1)	https://www.gov.uk/government/publications/enter-a-restriction-registration-rx1	government-organisation:D69
paye-no-return-of-class-1a-national-insurance-contributions	PAYE: no return of Class 1A National Insurance contributions	https://www.gov.uk/government/publications/paye-no-return-of-class-1a-national-insurance-contributions	government-organisation:D25
self-assessment-additional-information-sa101	Self Assessment: additional information (SA101)	https://www.gov.uk/government/publications/self-assessment-additional-information-sa101	government-organisation:D25
first-application-registration-fr1	First registration: application (FR1)	https://www.gov.uk/government/publications/first-application-registration-fr1	government-organisation:D69
change-a-company-name-nm01	Change a company name (NM01)	https://www.gov.uk/government/publications/change-a-company-name-nm01	government-organisation:EA26
self-assessment-trust-and-estate-tax-return-sa900	Self Assessment: Trust and Estate Tax Return (SA900)	https://www.gov.uk/government/publications/self-assessment-trust-and-estate-tax-return-sa900	government-organisation:D25
construction-industry-scheme-company-registration-cis305	Construction Industry Scheme: company registration (CIS305)	https://www.gov.uk/government/publications/construction-industry-scheme-company-registration-cis305	government-organisation:D25
charities-change-of-details-form-chv1	Charities: change of details form (ChV1)	https://www.gov.uk/government/publications/charities-change-of-details-form-chv1	government-organisation:D25
registered-titles-part-transfer-tp1	Registered title(s): part transfer (TP1)	https://www.gov.uk/government/publications/registered-titles-part-transfer-tp1	government-organisation:D69
vtl301-application-for-a-first-trade-licence	Application for a first trade licence	https://www.gov.uk/government/publications/vtl301-application-for-a-first-trade-licence	government-organisation:EA74
application-for-eea-family-permit-form-vaf5	Application for EEA family permit: form VAF5	https://www.gov.uk/government/publications/application-for-eea-family-permit-form-vaf5	government-organisation:OT554
national-insurance-application-for-healthcare-cover-in-the-european-economic-area-ca8454	National Insurance: application for healthcare cover in the European Economic Area (CA8454)	https://www.gov.uk/government/publications/national-insurance-application-for-healthcare-cover-in-the-european-economic-area-ca8454	government-organisation:D25
notification-of-change-of-circumstances-form-mcc	Notification of change of circumstances: form MCC	https://www.gov.uk/government/publications/notification-of-change-of-circumstances-form-mcc	government-organisation:OT554
vat-ec-sales-list-vat101	VAT: EC sales list (VAT101)	https://www.gov.uk/government/publications/vat-ec-sales-list-vat101	government-organisation:D25
self-assessment-short-tax-return-notes-sa210	Self Assessment: Short Tax Return notes (SA211 and SA210)	https://www.gov.uk/government/publications/self-assessment-short-tax-return-notes-sa210	government-organisation:D25
premium-visa-upgrade-request-form	Premium visa upgrade request form	https://www.gov.uk/government/publications/premium-visa-upgrade-request-form	government-organisation:OT554
file-your-dormant-accounts-aa02	File your dormant accounts (AA02)	https://www.gov.uk/government/publications/file-your-dormant-accounts-aa02	government-organisation:EA26
application-to-settle-in-uk-as-refugee-form-set-protection-route	Settle in the UK as a refugee: form SET (P)	https://www.gov.uk/government/publications/application-to-settle-in-uk-as-refugee-form-set-protection-route	government-organisation:OT554
hm-revenue-and-customs-disclosure-service	HM Revenue and Customs: disclosure service	https://www.gov.uk/government/publications/hm-revenue-and-customs-disclosure-service	government-organisation:D25
application-for-uk-visa-under-tier-5-youth-mobility-scheme	Application for UK visa under Tier 5 (Youth Mobility Scheme)	https://www.gov.uk/government/publications/application-for-uk-visa-under-tier-5-youth-mobility-scheme	government-organisation:OT554
passports-for-newly-weds-and-civil-partners	Passports for newlyweds and civil partners	https://www.gov.uk/government/publications/passports-for-newly-weds-and-civil-partners	government-organisation:EA66
firearms-application-forms	Firearms application forms	https://www.gov.uk/government/publications/firearms-application-forms	government-organisation:D16
dbs-continuation-sheet	DBS continuation sheet	https://www.gov.uk/government/publications/dbs-continuation-sheet	government-organisation:PB509
paye-mileage-allowance-and-passenger-payments-p11d-ws6	PAYE: mileage allowance and passenger payments (P11D WS6)	https://www.gov.uk/government/publications/paye-mileage-allowance-and-passenger-payments-p11d-ws6	government-organisation:D25
application-for-a-goods-vehicle-operators-licence-gv79	Apply for a goods vehicle operator’s licence (GV79)	https://www.gov.uk/government/publications/application-for-a-goods-vehicle-operators-licence-gv79	government-organisation:PB465
tax-credits-overpayment-tc846	Tax credits: dispute recovery of an overpayment (TC846)	https://www.gov.uk/government/publications/tax-credits-overpayment-tc846	government-organisation:D25
inheritance-tax-confirmation-c1	Inheritance Tax: confirmation (C1)	https://www.gov.uk/government/publications/inheritance-tax-confirmation-c1	government-organisation:D25
child-benefit-child-left-approved-education-or-training-ch459	Child Benefit: child left approved education or training (CH459)	https://www.gov.uk/government/publications/child-benefit-child-left-approved-education-or-training-ch459	government-organisation:D25
guidance-on-claiming-a-state-pension-if-you-retire-abroad	International State Pension claim form	https://www.gov.uk/government/publications/guidance-on-claiming-a-state-pension-if-you-retire-abroad	government-organisation:D10
import-and-export-application-for-repaymentremission-c285	Import and export: application for repayment or remission (C285)	https://www.gov.uk/government/publications/import-and-export-application-for-repaymentremission-c285	government-organisation:D25
winter-fuel-payment-claim-form	Winter Fuel Payment claim form	https://www.gov.uk/government/publications/winter-fuel-payment-claim-form	government-organisation:D10
corporation-tax-company-tax-return-ct600-2015-version-3	Corporation Tax: Company Tax Return (CT600 (2017) Version 3)	https://www.gov.uk/government/publications/corporation-tax-company-tax-return-ct600-2015-version-3	government-organisation:D25
application-to-register-as-a-british-citizen-form-ukf	Application to register as a British citizen: form UKF	https://www.gov.uk/government/publications/application-to-register-as-a-british-citizen-form-ukf	government-organisation:OT554
self-assessment-partnership-tax-return-sa800	Self Assessment: Partnership Tax Return (SA800)	https://www.gov.uk/government/publications/self-assessment-partnership-tax-return-sa800	government-organisation:D25
form-a-restriction-application-to-enter-sev	Form A restriction: application to enter (SEV)	https://www.gov.uk/government/publications/form-a-restriction-application-to-enter-sev	government-organisation:D69
register-particulars-of-a-charge-mr01	Register particulars of a charge (MR01)	https://www.gov.uk/government/publications/register-particulars-of-a-charge-mr01	government-organisation:EA26
application-to-re-register-a-childs-birth-and-add-the-natural-fathers-details	Application to re-register a child’s birth and add the natural father's details	https://www.gov.uk/government/publications/application-to-re-register-a-childs-birth-and-add-the-natural-fathers-details	government-organisation:EA66
cancel-a-restriction-registration-rx3	Cancel a restriction: registration (RX3)	https://www.gov.uk/government/publications/cancel-a-restriction-registration-rx3	government-organisation:D69
application-for-a-certificate-of-permanent-export	V756 Application for a certificate of permanent export (V561)	https://www.gov.uk/government/publications/application-for-a-certificate-of-permanent-export	government-organisation:EA74
general-register-office-gro-certificate-application-forms	General Register Office certificate application forms	https://www.gov.uk/government/publications/general-register-office-gro-certificate-application-forms	government-organisation:EA66
