page	timestamp	text
make-a-lasting-power-of-attorney	2013-07-08T17:32:34.000+01:00	Individual documents uploaded in addition to ZIP packs
make-a-lasting-power-of-attorney	2013-06-25T12:16:00.000+01:00	First published.
income-tax-tax-relief-for-expenses-of-employment-p87	2016-03-03T13:11:48.000+00:00	An online service is now available.
income-tax-tax-relief-for-expenses-of-employment-p87	2014-07-21T01:00:00.000+01:00	First published.
statutory-sick-pay-employees-statement-of-sickness-sc2	2015-04-06T00:00:08.000+01:00	An updated form SC2 for employees who have been sick for 4 or more days in a row and need to claim Statutory Sick Pay (SSP) from your employer has been published.
statutory-sick-pay-employees-statement-of-sickness-sc2	2014-07-10T01:00:00.000+01:00	Added translation
application-to-transfer-or-retain-a-vehicle-registration-number	2017-03-15T16:01:19.000+00:00	Updated version
application-to-transfer-or-retain-a-vehicle-registration-number	2016-11-17T16:57:29.000+00:00	Added translation
application-to-transfer-or-retain-a-vehicle-registration-number	2015-05-27T08:39:54.000+01:00	Links added to our new online services.
application-to-transfer-or-retain-a-vehicle-registration-number	2015-03-18T10:52:37.000+00:00	Update to the V317W.
application-to-transfer-or-retain-a-vehicle-registration-number	2015-03-06T12:06:49.000+00:00	Updates to section B and C and new section E ( Conditions on taxing a vehicle) added in guidance notes.
application-to-transfer-or-retain-a-vehicle-registration-number	2014-10-01T00:30:39.000+01:00	Amended document to include abolition of the tax disc changes.
application-to-transfer-or-retain-a-vehicle-registration-number	2014-07-22T07:21:16.000+01:00	Update due to centralisation of Northern Ireland vehicle services
application-to-transfer-or-retain-a-vehicle-registration-number	2013-06-28T08:50:38.000+01:00	Updates to the form due to LO office closures.
application-to-transfer-or-retain-a-vehicle-registration-number	2013-06-13T15:18:51.000+01:00	Reverted back to previous PDF version as LO changes are not due to go live until end of June.
application-to-transfer-or-retain-a-vehicle-registration-number	2013-06-11T11:06:27.000+01:00	Updates are due to LO closures and the personalised registration work centralised at Swansea.
application-to-transfer-or-retain-a-vehicle-registration-number	2012-02-01T00:00:00.000+00:00	First published.
application-to-register-child-under-18-as-british-citizen-form-mn1	2017-01-13T11:45:23.000+00:00	Updated form and guidance.
application-to-register-child-under-18-as-british-citizen-form-mn1	2016-04-12T15:31:49.000+01:00	Updated form.
application-to-register-child-under-18-as-british-citizen-form-mn1	2015-12-09T12:14:26.000+00:00	Updated guidance.
application-to-register-child-under-18-as-british-citizen-form-mn1	2015-09-17T11:18:46.000+01:00	Updated guide.
application-to-register-child-under-18-as-british-citizen-form-mn1	2015-06-24T10:37:00.000+01:00	Updated form and guide.
application-to-register-child-under-18-as-british-citizen-form-mn1	2015-06-01T14:42:20.000+01:00	Updated guide.
application-to-register-child-under-18-as-british-citizen-form-mn1	2015-03-26T11:52:29.000+00:00	Updated guidance and form
application-to-register-child-under-18-as-british-citizen-form-mn1	2014-06-09T16:51:28.000+01:00	A new version of this form and guidance have been published for use on or after 2 June 2014. You can now tell us your email address to receive an update on the progress of your application.
application-to-register-child-under-18-as-british-citizen-form-mn1	2014-02-06T16:23:31.000+00:00	Guide MN1 updated 6 February 2014
application-to-register-child-under-18-as-british-citizen-form-mn1	2013-09-01T01:00:00.000+01:00	First published.
attendance-allowance-claim-form	2017-05-12T07:56:49.000+01:00	Added updated versions of Attendance Allowance claim forms. Removed reference to AA1 and changed to AA1A.
attendance-allowance-claim-form	2015-07-20T16:27:16.000+01:00	Added revised AA1A interactive and print forms.
attendance-allowance-claim-form	2014-02-05T11:48:42.000+00:00	Added revised forms with new contact phone numbers.
attendance-allowance-claim-form	2014-01-16T12:19:05.000+00:00	Published January 2014 versions of the Attendance Allowance claim form.
attendance-allowance-claim-form	2013-04-01T00:00:00.000+01:00	First published.
paye-end-of-year-expenses-and-benefits-p11d	2017-04-06T00:15:11.000+01:00	English and Welsh versions of form P11D have been published for 2016 to 2017 tax year.
paye-end-of-year-expenses-and-benefits-p11d	2016-04-06T00:15:14.000+01:00	English and Welsh versions of the P11D for the 2015 to 2016 tax year are now available.
paye-end-of-year-expenses-and-benefits-p11d	2015-05-21T14:23:25.000+01:00	Box B has a change to the '90 day' rule in regards to recouping tax on notional payments.
paye-end-of-year-expenses-and-benefits-p11d	2015-04-06T00:15:01.000+01:00	Form P11d for employers to report end-of-year expenses and benefits for 2014 to 2015 has been published.
paye-end-of-year-expenses-and-benefits-p11d	2014-05-01T01:00:00.000+01:00	Added translation
income-tax-leaving-the-uk-getting-your-tax-right-p85	2017-05-15T13:24:17.000+01:00	The English and Welsh print and post forms have been updated.
income-tax-leaving-the-uk-getting-your-tax-right-p85	2015-11-30T16:24:33.000+00:00	An online service is now available.
income-tax-leaving-the-uk-getting-your-tax-right-p85	2013-01-01T00:01:00.000+00:00	Added translation
national-insurance-application-for-specified-adult-childcare-credits-ca9176	2015-04-08T09:01:13.000+01:00	Welsh version of form CA9176 added to this page.
national-insurance-application-for-specified-adult-childcare-credits-ca9176	2014-04-30T01:00:00.000+01:00	First published.
change-the-register-ap1	2016-11-03T08:37:22.000+00:00	Welsh version of checklist added.
change-the-register-ap1	2016-10-07T11:57:16.000+01:00	Checklist and video: applications for registered land added.
change-the-register-ap1	2016-01-11T06:00:13.000+00:00	We have added a side note to panel 7 as a result of a change in our procedures. From 11 January 2016 we will change how we send warning of cancellation letters and what they contain.
change-the-register-ap1	2015-08-03T06:00:08.000+01:00	Advice as to the completion of the form has been added
change-the-register-ap1	2012-10-24T00:00:00.000+01:00	Added translation
strike-off-a-company-from-the-register-ds01	2015-05-26T07:32:41.000+01:00	DS01 updated to version 7
strike-off-a-company-from-the-register-ds01	2015-01-20T12:57:55.000+00:00	Checklist guidance added to the page
strike-off-a-company-from-the-register-ds01	2014-09-19T14:38:00.000+01:00	First published.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2017-04-06T00:00:07.000+01:00	Updated application form and guidance for use on or after 6 April 2017.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-12-21T00:00:05.000+00:00	Updated form and guidance for use on or after 21 December.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-11-25T14:36:39.000+00:00	Updated guidance.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-11-24T00:00:14.000+00:00	Updated form for use on or after 24 November.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-04-18T00:00:00.000+01:00	Updated form for use on or after 8 April.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-04-06T00:00:22.000+01:00	Updated application form for use on or after 6 April 2016.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2016-03-22T09:38:46.000+00:00	Updated form for use on or after 18 March.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2015-11-19T00:00:25.000+00:00	Updated guidance and application form for use on or after 19th November.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2015-04-06T00:15:37.000+01:00	New version published for use on or after 6 April 2015.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2014-11-06T00:00:16.000+00:00	New versions published for use on or after 6 November 2014.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2014-08-12T15:25:14.000+01:00	Updated guidance.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2014-07-28T00:00:12.000+01:00	Updated FLR(M) application form and guidance, 28/07/2014.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2014-04-06T00:18:40.000+01:00	New form published for use on and after 6 April 2014.
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm	2013-10-01T01:00:00.000+01:00	First published.
inheritance-tax-return-of-estate-information-iht205-2011	2017-03-06T14:50:29.000+00:00	New customers can now trial our online service for Inheritance Tax reporting.
inheritance-tax-return-of-estate-information-iht205-2011	2015-10-28T13:54:24.000+00:00	From November 2015 if you are already registered to use SA Online, you may be able to use our new Inheritance Tax Online Service instead of filling in form IHT205.
inheritance-tax-return-of-estate-information-iht205-2011	2015-09-10T10:46:43.000+01:00	Updated forms IHT205 (2011) and IHT 206 (2011) have been added to the page.
inheritance-tax-return-of-estate-information-iht205-2011	2014-04-04T01:00:00.000+01:00	First published.
tax-agents-and-advisers-authorising-your-agent-64-8	2017-02-27T16:05:09.000+00:00	Under '5 Where to send this form' in bullet point 3 the words 'or an expatriate' and 'or the Manchester expat team' has been deleted. The Manchester Expat Team no longer deal with 64-8 forms.
tax-agents-and-advisers-authorising-your-agent-64-8	2016-01-06T13:33:38.000+00:00	The Authorising your agent (64-8) attachment has been updated and replaced.
tax-agents-and-advisers-authorising-your-agent-64-8	2014-04-04T01:00:00.000+01:00	Added translation
v890-statutory-off-road-notification-sorn	2016-11-15T10:08:21.000+00:00	Added translation
v890-statutory-off-road-notification-sorn	2016-08-16T16:23:32.000+01:00	PDFs updated.
v890-statutory-off-road-notification-sorn	2016-01-05T10:06:59.000+00:00	New version of the Welsh V890.
v890-statutory-off-road-notification-sorn	2015-07-03T09:11:47.000+01:00	Latest version uploaded
v890-statutory-off-road-notification-sorn	2014-10-01T14:21:00.000+01:00	New version of both V890 &V890W published
v890-statutory-off-road-notification-sorn	2014-07-22T07:22:00.000+01:00	Update due to centralisation of Northern Ireland vehicle services
v890-statutory-off-road-notification-sorn	2013-12-16T14:52:12.000+00:00	New version of the V890W added.
v890-statutory-off-road-notification-sorn	2013-12-16T08:50:27.000+00:00	New version of the V890 added.
v890-statutory-off-road-notification-sorn	2012-09-09T08:25:00.000+01:00	First published.
child-benefit-change-of-family-circumstances	2016-08-22T11:55:17.000+01:00	The email versions of this form has been removed.
child-benefit-change-of-family-circumstances	2015-11-30T16:22:00.000+00:00	First published.
employment-and-support-allowance-claim-form	2017-03-02T15:59:53.000+00:00	Published revised ESA claim form you can print and fill in with a pen – English and Welsh.
employment-and-support-allowance-claim-form	2017-02-28T09:30:26.000+00:00	Published revised ESA claim form you can download, fill in on screen, save – and then print.
employment-and-support-allowance-claim-form	2015-03-31T15:15:29.000+01:00	Expanded notes section to inlcude advice for claimants who have claimed ESA before.
employment-and-support-allowance-claim-form	2014-01-13T15:18:57.000+00:00	Added updated versions - Oct 2013.
employment-and-support-allowance-claim-form	2013-04-01T00:00:00.000+01:00	First published.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2017-01-05T13:58:04.000+00:00	Clarification has been added to explain the form is to be used by people working within the UK.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2015-11-30T16:25:51.000+00:00	An online service is now available.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2015-07-13T15:56:48.000+01:00	New print and complete form added.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2015-05-22T15:04:00.000+01:00	Welsh version of form P50Z added to this page.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2015-04-06T00:15:48.000+01:00	Form P50Z added to claim refund on flexible access pension payment.
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2015-01-21T15:13:36.000+00:00	Added translation
income-tax-claiming-tax-back-when-you-have-stopped-working-p50	2014-07-01T01:00:00.000+01:00	First published.
maternity-allowance-claim-form	2016-05-04T11:41:56.000+01:00	Replaced all 3 versions with March 2016 editions.
maternity-allowance-claim-form	2014-10-10T13:03:58.000+01:00	Replaced the interactive and print versions of the form with October 2014 editions.
maternity-allowance-claim-form	2013-10-01T00:00:00.000+01:00	First published.
application-for-uk-visa-for-family-settlement-form-vaf4a	2016-03-02T11:43:46.000+00:00	Updated information.
application-for-uk-visa-for-family-settlement-form-vaf4a	2013-12-01T00:00:00.000+00:00	First published.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2017-03-21T10:54:21.000+00:00	Updated application form.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2017-02-06T00:00:09.000+00:00	Updated form for use on or after 6 February 2017.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2016-12-30T13:00:51.000+00:00	Added link to European passport return service.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2016-03-18T00:00:16.000+00:00	Updated form and guidance for use on or after 18 March.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2015-07-20T00:00:15.000+01:00	Updated form and guidance for use on or after 20 July 2015.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2015-03-31T00:00:07.000+01:00	Updated information.
apply-for-a-registration-certificate-as-a-qualified-person-form-eea-qp	2015-01-30T00:00:00.000+00:00	First published.
application-for-transfer-of-residence-tor-relief-tor01	2017-05-05T15:52:31.000+01:00	Form updated as the conditions for applying for a Transfer of Residence have changed.
application-for-transfer-of-residence-tor-relief-tor01	2016-12-07T12:54:00.000+00:00	First published.
disability-living-allowance-for-children-claim-form	2016-06-29T09:30:02.000+01:00	Published update of the DLA for children claim forms for June 2016.
disability-living-allowance-for-children-claim-form	2014-02-05T11:48:08.000+00:00	Added revised forms with new contact phone numbers.
disability-living-allowance-for-children-claim-form	2014-01-16T15:34:05.000+00:00	Published January 2014 update of the DLA for children claim form.
disability-living-allowance-for-children-claim-form	2013-01-01T00:00:00.000+00:00	First published.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2017-03-22T00:00:06.000+00:00	Updated application form.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2016-06-10T00:00:05.000+01:00	Updated form for use on or after 10 June 2016.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2016-03-18T00:00:18.000+00:00	Updated form and guidance for use on or after 18 March.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2015-07-20T00:00:15.000+01:00	Updated form and guidance for use on or after 20 July 2015.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2015-03-31T00:00:07.000+01:00	Updated information.
apply-for-a-registration-certificate-or-residence-card-for-a-family-member-form-eea-fm	2015-01-30T00:00:00.000+00:00	First published.
sure-start-maternity-grant-claim-form	2016-12-02T14:32:52.000+00:00	Published new version of Sure Start Maternity Grant claim form - English and Welsh.
sure-start-maternity-grant-claim-form	2016-06-29T12:38:49.000+01:00	Published new version of Sure Start Maternity Grant claim form.
sure-start-maternity-grant-claim-form	2013-10-01T00:00:00.000+01:00	First published.
academies-budget-forecast-outturn-2016-to-2017	2017-04-07T17:10:44.000+01:00	Updated information and added a link to register for the budget forecast return: outturn webinar at 1.30pm on 20 April 2017.
academies-budget-forecast-outturn-2016-to-2017	2017-03-30T10:28:00.000+01:00	First published.
application-to-settle-in-the-uk-form-seto	2017-04-06T00:00:14.000+01:00	Updated application form and guidance for use on or after 6 April 2017.
application-to-settle-in-the-uk-form-seto	2016-11-24T00:00:18.000+00:00	Updated form and guidance for use on or after 24 November.
application-to-settle-in-the-uk-form-seto	2016-04-06T00:00:32.000+01:00	Updated form for use on or after 6 April.
application-to-settle-in-the-uk-form-seto	2016-03-18T00:00:18.000+00:00	Updated form for use on or after 18 March.
application-to-settle-in-the-uk-form-seto	2016-03-03T15:49:58.000+00:00	Updated guidance.
application-to-settle-in-the-uk-form-seto	2015-11-19T00:00:24.000+00:00	Updated form and guidance for use on or after 19 November 2015.
application-to-settle-in-the-uk-form-seto	2015-09-17T11:55:01.000+01:00	Updated SET(O) guidance.
application-to-settle-in-the-uk-form-seto	2015-08-03T00:00:15.000+01:00	Updated form published for use on or after 3 August 2015.
application-to-settle-in-the-uk-form-seto	2015-05-06T09:52:35.000+01:00	Updated application form.
application-to-settle-in-the-uk-form-seto	2015-04-06T00:15:33.000+01:00	New version published for use on or after 6 April 2015.
application-to-settle-in-the-uk-form-seto	2014-11-06T00:00:20.000+00:00	New version published for use on or after 6 November 2014.
application-to-settle-in-the-uk-form-seto	2014-10-23T00:00:42.000+01:00	New SET (O) form version published for use on or after 23 October 2014.
application-to-settle-in-the-uk-form-seto	2014-08-13T12:00:24.000+01:00	updated guidance notes
application-to-settle-in-the-uk-form-seto	2014-07-21T00:15:00.000+01:00	Updated SET (O) application form, July 2014.
application-to-settle-in-the-uk-form-seto	2014-06-02T00:15:13.000+01:00	A new version of this form has been published for use on or after 2 June 2014. You can now tell us your email address to receive an update on the progress of your application.
application-to-settle-in-the-uk-form-seto	2014-04-06T00:02:38.000+01:00	A new version of this form has been published for use on after 6 April 2014.
application-to-settle-in-the-uk-form-seto	2013-07-21T00:05:00.000+01:00	First published.
self-assessment-employment-sa102	2017-04-06T00:30:51.000+01:00	The form and notes have been added for tax year 2016 to 2017.
self-assessment-employment-sa102	2016-04-06T00:15:15.000+01:00	Rates, allowances and duties have been updated for the tax year 2016 to 2017.
self-assessment-employment-sa102	2014-04-04T01:00:00.000+01:00	Added translation
application-for-a-state-pension-statement	2015-09-01T00:15:20.000+01:00	Removed link to the State Pension online statement which is no longer available from 1 September 2015.
application-for-a-state-pension-statement	2012-11-01T00:00:00.000+00:00	First published.
national-insurance-statement-of-national-insurance-contributions-ca3916	2016-08-08T10:16:44.000+01:00	The online form is temporarily withdrawn for functional updates.
national-insurance-statement-of-national-insurance-contributions-ca3916	2016-04-06T11:18:03.000+01:00	Welsh translation added to the page.
national-insurance-statement-of-national-insurance-contributions-ca3916	2016-03-03T13:15:52.000+00:00	An online service is now available.
national-insurance-statement-of-national-insurance-contributions-ca3916	2014-12-07T07:57:35.000+00:00	Related forms and guidance added.
national-insurance-statement-of-national-insurance-contributions-ca3916	2014-06-02T00:00:00.000+01:00	First published.
application-to-extend-stay-in-the-uk-form-flrfp	2017-04-06T00:00:07.000+01:00	Updated application form and guidance for use on or after 6 April 2017.
application-to-extend-stay-in-the-uk-form-flrfp	2016-12-21T00:00:05.000+00:00	Updated form and guidance for use on or after 21 December.
application-to-extend-stay-in-the-uk-form-flrfp	2016-12-01T00:00:02.000+00:00	Updated form for use on or after 1 December.
application-to-extend-stay-in-the-uk-form-flrfp	2016-11-25T16:35:00.000+00:00	Updated guidance.
application-to-extend-stay-in-the-uk-form-flrfp	2016-11-24T00:00:14.000+00:00	Updated form for use on or after 24 November.
